format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00369,Male,44,173,71,12345,12345,12345,12345,12345,12345,1513662324259
9,672,153887,153897,153908,153922,153930,153941,153956,153970,153988,154001,154010,154019,1513662326315
9,684,154031,154047,154060,154073,154082,154097,154113,154131,154147,154156,154168,154178,1513662326316
9,696,154190,154206,154220,154232,154244,154257,154272,154287,154297,154314,154325,154334,1513662326316
9,708,154347,154360,154375,154386,154400,154408,154420,154429,154443,154455,154466,154481,1513662326317
10,684,171815,171824,171828,171839,171846,171849,171856,171867,171876,171883,171886,171891,1513662326362
10,696,171895,171904,171913,171921,171928,171933,171939,171941,171951,171959,171965,171970,1513662326362
10,708,171977,171981,171993,172001,172007,172019,172023,172024,172030,172034,172045,172052,1513662326362
10,720,172057,172065,172066,172074,172080,172087,172087,172091,172101,172111,172117,172121,1513662326363
5,696,-215828,-212655,-212044,-216982,-221628,-220887,-218939,-216649,-213879,-210831,-209426,-211185,1513662326378
5,708,-216624,-221309,-221084,-219885,-218593,-217068,-214535,-213362,-217188,-223337,-225136,-223913,1513662326378
5,720,-221651,-218758,-215858,-213254,-213800,-218797,-223470,-223203,-222313,-219845,-216849,-213246,1513662326379
5,732,-213018,-216239,-221491,-223960,-224097,-221215,-217650,-215168,-212567,-212927,-218415,-223254,1513662326379
9,720,154493,154503,154514,154528,154541,154551,154557,154572,154584,154594,154608,154620,1513662326405
9,732,154626,154636,154647,154663,154673,154684,154691,154700,154713,154721,154728,154739,1513662326406
9,744,154752,154758,154765,154777,154785,154794,154807,154813,154825,154835,154847,154852,1513662326406
9,756,154860,154870,154874,154887,154898,154906,154916,154923,154934,154946,154951,154959,1513662326406
10,732,172125,172131,172141,172146,172149,172154,172164,172167,172171,172180,172186,172190,1513662326435
10,744,172198,172206,172209,172213,172217,172224,172232,172237,172239,172246,172244,172251,1513662326437
10,756,172259,172265,172269,172270,172279,172285,172288,172295,172301,172301,172305,172309,1513662326437
10,768,172313,172317,172320,172324,172327,172339,172344,172347,172351,172355,172362,172367,1513662326437
5,744,-223262,-223036,-218938,-216544,-213167,-211874,-216243,-222808,-223855,-223107,-222395,-219376,1513662326468
5,756,-215685,-213361,-215294,-220136,-224403,-225112,-221949,-219262,-216969,-213496,-213068,-216735,1513662326468
5,768,-222797,-224499,-223369,-221726,-218926,-216208,-213005,-214031,-219349,-224828,-225327,-223068,1513662326469
5,780,-220470,-217517,-213032,-212174,-215167,-219913,-223656,-225531,-222611,-217735,-216031,-214434,1513662326469
9,768,154968,154973,154983,154994,155004,155015,155019,155027,155037,155046,155057,155061,1513662326526
9,780,155069,155079,155086,155096,155101,155107,155114,155119,155132,155139,155146,155154,1513662326526
9,792,155166,155173,155178,155189,155197,155199,155205,155210,155216,155219,155221,155220,1513662326527
10,780,172371,172373,172375,172375,172383,172391,172398,172402,172406,172408,172412,172415,1513662326560
10,792,172417,172426,172428,172433,172431,172438,172437,172444,172444,172444,172449,172453,1513662326560
10,804,172451,172454,172450,172450,172449,172444,172435,172429,172426,172416,172408,172398,1513662326561
10,816,172390,172379,172371,172359,172345,172331,172307,172291,172274,172254,172231,172209,1513662326561
10,828,172187,172166,172142,172117,172095,172067,172046,172021,171995,171969,171940,171916,1513662326562
5,792,-214282,-217346,-223081,-225217,-223136,-219300,-216529,-213911,-213440,-215718,-220083,-223786,1513662326589
5,804,-223728,-222299,-219405,-216459,-213385,-214785,-218684,-222988,-223229,-222384,-219154,-216264,1513662326593
5,816,-213692,-211372,-214237,-220399,-225126,-223960,-221460,-217952,-215314,-213357,-213560,-216993,1513662326599
5,828,-222274,-224141,-221210,-219035,-217756,-214705,-213245,-215440,-220239,-223717,-224106,-222069,1513662326599
5,840,-218631,-217103,-214797,-214263,-216774,-222661,-225264,-225740,-223532,-219493,-215277,-212510,1513662326600
9,804,155223,155225,155220,155219,155212,155207,155197,155188,155173,155166,155146,155130,1513662326616
9,816,155107,155088,155068,155039,155016,154985,154951,154916,154885,154843,154809,154763,1513662326617
9,828,154720,154679,154631,154583,154544,154492,154447,154394,154348,154296,154246,154196,1513662326617
9,840,154146,154099,154043,153997,153946,153902,153855,153808,153761,153714,153675,153625,1513662326618
9,852,153587,153545,153504,153466,153427,153389,153355,153318,153290,153262,153229,153203,1513662326618
9,864,153178,153148,153126,153099,153079,153060,153041,153023,153000,152984,152967,152956,1513662326619
10,840,171887,171863,171832,171810,171779,171758,171731,171704,171683,171657,171636,171611,1513662326651
10,852,171581,171564,171540,171524,171500,171487,171466,171448,171433,171414,171398,171378,1513662326652
10,864,171364,171352,171337,171328,171312,171301,171293,171284,171273,171269,171259,171252,1513662326652
10,876,171244,171234,171229,171226,171218,171211,171210,171204,171204,171198,171191,171188,1513662326652
5,852,-215002,-219737,-224767,-225970,-224800,-221740,-219080,-215980,-214412,-218319,-223990,-225227,1513662326677
5,864,-224184,-221228,-218853,-217252,-215571,-216913,-221245,-225882,-225395,-223972,-222174,-218882,1513662326677
5,876,-215303,-213574,-218365,-224007,-226534,-225817,-223024,-221103,-217912,-215016,-216567,-221266,1513662326678
5,888,-225865,-225559,-224432,-222115,-219915,-216596,-215943,-217788,-223680,-226596,-225453,-224141,1513662326678
9,876,152942,152931,152917,152909,152898,152889,152881,152878,152871,152861,152857,152851,1513662326707
9,888,152851,152845,152848,152843,152837,152834,152837,152837,152838,152842,152842,152845,1513662326708
9,900,152846,152846,152851,152858,152855,152862,152869,152874,152878,152881,152888,152892,1513662326708
10,888,171188,171191,171186,171183,171180,171183,171182,171179,171181,171180,171181,171175,1513662326744
10,900,171182,171184,171188,171186,171190,171194,171192,171193,171197,171199,171202,171200,1513662326745
10,912,171207,171204,171213,171215,171218,171220,171226,171231,171233,171235,171242,171247,1513662326745
10,924,171253,171254,171266,171264,171271,171270,171281,171285,171289,171299,171307,171316,1513662326745
5,900,-221095,-218631,-215331,-216183,-221170,-226647,-226724,-223917,-221604,-218783,-216544,-215882,1513662326768
5,912,-218616,-223610,-226157,-225757,-223788,-220948,-218901,-216785,-217154,-220781,-226164,-227505,1513662326769
5,924,-226763,-223672,-221095,-216906,-214515,-218304,-223701,-226519,-225965,-224197,-221344,-219231,1513662326770
5,936,-216698,-217084,-219761,-224651,-226941,-226355,-223566,-220460,-217554,-216081,-219343,-223432,1513662326770
9,912,152899,152905,152913,152914,152923,152930,152934,152938,152949,152959,152963,152971,1513662326796
9,924,152979,152991,153001,153014,153021,153034,153040,153056,153068,153079,153089,153101,1513662326799
9,936,153119,153133,153142,153157,153166,153179,153190,153204,153214,153224,153232,153247,1513662326804
9,948,153255,153262,153274,153289,153298,153306,153322,153334,153347,153356,153362,153375,1513662326805
10,936,171320,171328,171334,171336,171344,171345,171353,171362,171368,171379,171383,171389,1513662326833
10,948,171393,171398,171404,171409,171414,171420,171426,171431,171441,171445,171448,171453,1513662326833
10,960,171456,171461,171467,171470,171473,171475,171476,171477,171483,171486,171490,171488,1513662326834
10,972,171494,171496,171498,171499,171499,171499,171506,171501,171503,171501,171501,171503,1513662326834
5,948,-226845,-226687,-225411,-222136,-219320,-216297,-216673,-220959,-226688,-226784,-224931,-223039,1513662326879
5,960,-221441,-219249,-216077,-217475,-223002,-227170,-227213,-224748,-221504,-220749,-218185,-216734,1513662326879
5,972,-219984,-225433,-225981,-225366,-225287,-222812,-219691,-217722,-219317,-221915,-226866,-227729,1513662326879
5,984,-225833,-222779,-219782,-216937,-214960,-218168,-224866,-228505,-227531,-223200,-220001,-217649,1513662326880
9,960,153378,153389,153395,153399,153409,153414,153425,153431,153437,153440,153443,153453,1513662326902
9,972,153452,153457,153460,153464,153468,153472,153473,153473,153471,153475,153473,153477,1513662326902
9,984,153476,153476,153478,153474,153476,153472,153466,153468,153467,153463,153459,153459,1513662326904
9,996,153451,153451,153447,153443,153442,153438,153433,153429,153431,153427,153426,153424,1513662326904
9,1008,153419,153414,153414,153415,153417,153416,153420,153420,153419,153420,153417,153419,1513662326904
10,984,171503,171502,171498,171500,171497,171496,171500,171498,171496,171494,171488,171489,1513662326931
10,996,171488,171487,171487,171485,171488,171486,171491,171487,171481,171480,171479,171479,1513662326931
10,1008,171478,171475,171468,171473,171469,171470,171471,171467,171468,171470,171472,171470,1513662326931
10,1020,171475,171473,171473,171468,171471,171477,171476,171478,171481,171486,171486,171488,1513662326932
5,996,-216956,-219415,-223082,-226422,-227119,-225546,-222899,-220313,-217114,-216903,-221392,-225970,1513662326962
5,1008,-227534,-226878,-225010,-221113,-218135,-217095,-219285,-224054,-228301,-228114,-225434,-223047,1513662326963
5,1020,-221224,-217496,-217159,-219862,-224942,-227369,-225607,-223873,-221936,-219426,-217078,-218624,1513662326963
5,1032,-222195,-227453,-227086,-225139,-222907,-220765,-217865,-217805,-218401,-224004,-227734,-226116,1513662326963
9,1020,153418,153419,153425,153425,153427,153432,153432,153438,153444,153449,153451,153453,1513662326997
9,1032,153459,153470,153477,153487,153494,153496,153501,153509,153514,153524,153533,153540,1513662326999
9,1044,153550,153564,153573,153581,153594,153604,153614,153622,153634,153643,153654,153665,1513662326999
9,1056,153674,153688,153695,153705,153718,153727,153738,153752,153765,153779,153794,153806,1513662326999
10,1032,171492,171494,171496,171495,171497,171502,171506,171513,171519,171524,171527,171532,1513662327021
10,1044,171532,171534,171539,171546,171553,171556,171562,171567,171575,171575,171581,171591,1513662327022
10,1056,171595,171597,171607,171616,171622,171625,171630,171635,171640,171644,171650,171656,1513662327023
10,1068,171664,171674,171677,171683,171687,171696,171704,171708,171715,171726,171733,171740,1513662327023
5,1044,-224835,-222629,-220568,-217898,-218948,-223232,-226914,-228404,-227516,-224336,-221715,-218387,1513662327055
5,1056,-216848,-219817,-225105,-229669,-228124,-224603,-222615,-221613,-219046,-218347,-222149,-227340,1513662327057
5,1068,-228135,-226873,-225771,-222017,-219220,-217952,-220401,-225794,-229237,-228111,-225861,-223576,1513662327057
5,1080,-221933,-218315,-219455,-223244,-226922,-228194,-227211,-224379,-221614,-219015,-217500,-219702,1513662327058
