format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00872,Female,36,160,66,12345,12345,12345,12345,12345,12345,1512442559186
9,972,149535,149536,149537,149538,149544,149547,149544,149546,149551,149548,149549,149552,1512442561816
9,984,149549,149547,149552,149555,149554,149559,149563,149563,149562,149568,149571,149576,1512442561817
9,996,149582,149582,149585,149588,149599,149602,149606,149616,149619,149628,149639,149649,1512442561817
9,1008,149655,149664,149673,149682,149691,149700,149711,149722,149734,149744,149758,149767,1512442561817
10,984,138729,138729,138732,138737,138733,138733,138737,138737,138741,138739,138743,138743,1512442561840
10,996,138748,138746,138749,138755,138760,138760,138760,138765,138765,138770,138773,138775,1512442561841
10,1008,138779,138786,138788,138792,138796,138799,138803,138812,138817,138821,138824,138837,1512442561841
10,1020,138839,138846,138847,138850,138857,138862,138868,138871,138877,138879,138886,138888,1512442561841
5,996,-52828,-51838,-49374,-47728,-47232,-49686,-54280,-56176,-54866,-54475,-52270,-50101,1512442561871
5,1008,-47913,-48154,-51030,-55184,-54970,-53435,-52815,-51298,-48629,-47258,-48734,-52629,1512442561872
5,1020,-55619,-54948,-54047,-51613,-49825,-47395,-47970,-51930,-56039,-56090,-54572,-52933,1512442561873
5,1032,-51344,-49422,-47292,-49173,-52908,-56054,-55186,-53511,-51847,-50108,-48873,-49284,1512442561873
9,1020,149775,149788,149803,149813,149825,149838,149850,149860,149869,149879,149887,149894,1512442561910
9,1032,149904,149911,149923,149931,149941,149946,149957,149965,149974,149981,149988,149991,1512442561913
9,1044,150001,150001,150007,150013,150013,150017,150020,150023,150025,150032,150032,150033,1512442561913
9,1056,150036,150040,150039,150039,150043,150043,150042,150046,150041,150044,150045,150047,1512442561913
10,1032,138895,138901,138900,138907,138907,138913,138917,138918,138920,138927,138928,138928,1512442561931
10,1044,138936,138939,138940,138943,138943,138940,138946,138948,138947,138948,138951,138948,1512442561933
10,1056,138948,138946,138949,138952,138954,138951,138951,138953,138954,138953,138956,138956,1512442561933
10,1068,138959,138961,138958,138956,138960,138958,138961,138963,138957,138962,138961,138963,1512442561933
5,1044,-51180,-55159,-57454,-56432,-53702,-51374,-50119,-48109,-49447,-53212,-56367,-55859,1512442561961
5,1056,-54130,-52454,-51141,-49211,-49197,-51501,-55775,-56841,-55566,-54669,-52197,-50004,1512442561961
5,1068,-48249,-49708,-53134,-56081,-56043,-54573,-52499,-50784,-49238,-48540,-51264,-55613,1512442561962
5,1080,-57551,-56058,-53898,-52309,-49627,-48343,-50113,-54023,-57325,-57253,-55809,-53360,1512442561962
